,Title,location,Posting_date,job_link,DESCRIPTION,BASIC QUALIFICATIONS,PREFERRED QUALIFICATIONS,TEAM
43,"Data Scientist, AWS Training & Certification","US, WA, Seattle","May 24, 2019",https://www.amazon.jobs/en-gb/jobs/864997/data-scientist-aws-training-certification,"Amazon Device software team is looking for an exceptional, motivated software engineer to implement inference of Deep learning models on the Edge. This is an ambitious undertaking to create a new device category from ground up and is replete with technical challenges. As a Software Engineer you will take an exciting and challenging role on a team and work with world-class engineers, business leaders, and other talented engineering teams while you design, architect, and code for our Deep learning inference platform for the edge.You will be an owner for your features, including design, development, testing, and operations. You'll also work closely with engineers from other Amazon teams. This is a great opportunity for you to develop new algorithms and to innovate in this space. This position requires the ability to work on inference scheduling and concurrency on resource constrained computing platforms on the edge, analyze performance of inference implementations, knowledge of GPU/accelerator architecture and pit falls, minimal working knowledge of GPU programming (CUDA or OpenCL). From a soft skills standpoint, you will collaborate across Amazon to influence and be influenced regarding best practices for machine learning inference. Additionally, the candidate needs to possess a real passion for artificial intelligence and computer vision, and knowledge of latest developments in DL and AI.","· 5+ years of software development experience in at least two relevant technical areas: high performance computing, machine learning, computer vision, embedded systems, distributed systems· 3+ years of relevant experience in building production-scale machine learning or deep learning models and systems· 1+ year of experience specifically with deep learning (e.g., CNN, RNN, LSTM)· Familiar with Python or other programing languages used in ML/DL· Hands on experience building models with deep learning frameworks like MXNet, Tensorflow, Caffe/Caffe2, Keras, PyTorch/Torch and Theano· Experience in building and productizing Machine Learning models.· Experience with embedded devices","· Master’s or advanced degree in Computer Science, Computer Engineering or related technical discipline.· Familiar with interdisciplinary developments that involve hardware, software, and algorithm co-design.· Familiar with end-to-end ML/DL inference optimization approaches, especially on the edge· Experience turning cutting edge science into mature products· Experience in programming GPUs· Experience with multimedia streaming technologies, such as video encoding/decoding/trans-coding, video compression, GStreamer, etc.· Experience with signal processing or image processingAmazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age",Device Software
44,Sr Machine Learning Engineer,"US, CA, Sunnyvale","May 23, 2019",https://www.amazon.jobs/en-gb/jobs/864642/sr-machine-learning-engineer,"Do you want to join an innovative team of scientists who use machine learning and statistical techniques to help Amazon provide the best customer experience by automatically mitigating risk and providing support solutions? Do you want to build advanced algorithmic systems that help manage the trust and safety of millions of customer interactions every day? Are you excited by the prospect of analyzing and modeling terabytes of data and creating state-of-art algorithms to solve real world problems? Do you like to build end-to-end business solutions and directly impact the profitability of the company? Do you like to innovate and simplify? If yes, then you may be a great fit to join the Machine Learning Accelerator team in the Amazon Customer Trust and Partner Support group.Major responsibilities· Use statistical and machine learning techniques to create scalable risk management and support systems.· Analyze and understand large amounts of Amazon’s historical business data for specific instances of risk or broader risk trends.· Design, development and evaluation of highly innovative models for risk management.· Work closely with teams of scientists and software engineers to drive real-time model implementations and new feature creations.· Establish scalable, efficient, automated processes for large scale data analyses, model development, model validation and model implementation.· Research and implement novel machine learning and statistical approaches.","· A MS in CS, Machine Learning, Statistics, Operations Research or in a highly quantitative field· 4+ years of hands-on experience in predictive modeling and large data analysis· Strong ML breadth and depth· Strong skills with SQL· Strong skills with Spark/Python/Perl (or similar)· Communication and data presentation skills· Strong problem solving ability","· A PhD in CS, Machine Learning, Statistics, Operations Research· 6+ years of industry experience in predictive modeling and analysis· Superior ML breadth and depth· Expert skills with SQL· Expert skills with Spark/Python/Perl (or similar)· Superior problem solving abilityAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation",Transaction Risk Management Systems
45,Applied Scientist,"US, WA, Seattle","May 23, 2019",https://www.amazon.jobs/en-gb/jobs/864557/applied-scientist,"Do you want to join an innovative team of scientists who use machine learning and statistical techniques to help Amazon provide the best customer experience by automatically mitigating risk and providing support solutions? Do you want to build advanced algorithmic systems that help manage the trust and safety of millions of customer interactions every day? Are you excited by the prospect of analyzing and modeling terabytes of data and creating state-of-art algorithms to solve real world problems? Do you like to build end-to-end business solutions and directly impact the profitability of the company? Do you like to innovate and simplify? If yes, then you may be a great fit to join the Machine Learning Accelerator team in the Amazon Customer Trust and Partner Support group.Major responsibilities· Use statistical and machine learning techniques to create scalable risk management and support systems.· Analyze and understand large amounts of Amazon’s historical business data for specific instances of risk or broader risk trends.· Design, development and evaluation of highly innovative models for risk management.· Work closely with teams of scientists and software engineers to drive real-time model implementations and new feature creations.· Establish scalable, efficient, automated processes for large scale data analyses, model development, model validation and model implementation.· Research and implement novel machine learning and statistical approaches.","· A MS in CS, Machine Learning, Statistics, Operations Research or in a highly quantitative field· 4+ years of hands-on experience in predictive modeling and large data analysis· Strong ML breadth and depth· Strong skills with SQL· Strong skills with Spark/Python/Perl (or similar)· Communication and data presentation skills· Strong problem solving ability","· A PhD in CS, Machine Learning, Statistics, Operations Research· 6+ years of industry experience in predictive modeling and analysis· Superior ML breadth and depth· Expert skills with SQL· Expert skills with Spark/Python/Perl (or similar)· Superior problem solving abilityAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation",Transaction Risk Management Systems
46,Applied Scientist,"US, WA, Seattle","May 23, 2019",https://www.amazon.jobs/en-gb/jobs/864536/applied-scientist,"Twitch Prime (TP) aims to become the largest and best-loved premium subscription program for gamers worldwide. We deliver free games, in-game content, and a Twitch channel subscription to our members every month… plus all the benefits of Amazon Prime! Join us to help define what else we have in store!TP Business Intelligence and Fraud Prevention is seeking a highly-collaborative Applied Scientist who is experienced, resourceful, and able to work independently under tight time constraints. The ideal candidate will use statistical and machine learning techniques to create scalable systems and work closely with software engineering to drive real-time model implementations and deployable automated fraud and abuse solutions. If you have these traits and are excited about making a big impact in the game industry, we're looking for you!Key Responsibilities:· Establish scalable, efficient, automated processes for large scale data analyses, model development, model validation and model implementation· Write secure, stable, testable, and maintainable code alongside our team of SDEs· Suggest quick mitigation measures and friction· Monitor abuse vectors and impact· Curate ground truth and train detection models· Provide clear, compelling technical fraud roadmap business recommendations· Research and implement novel machine learning and statistical approaches","· Master’s or PhD in Computer Science (Machine Learning, AI, Statistics, or equivalent)·   · 3+ years of practical experience applying ML to solve complex problems  · Expertise in one of the applied science disciplines, such as machine learning, voice recognition, natural language processing, computer vision or robotics  · 1+ years experience with math/stats software (R, Matlab, SAS, Stata) or other domain specific software","· Track record of innovation through ML and statistical approaches applied to business problems.· Proficient in SQL and proficient in one scripting language (e.g., Python or Perl)· Proficient in one software language (e.g., C++, Java)· Work well in a fast-moving team environment and effectively deliver technical implementations having complex dependencies and requirements· Experience in e-commerce / on-line companies in fraud / risk control functions· Experience in gaming industry· Experience in analyzing user behavior in a subscription business model· Superior verbal and written communication and presentation skills, ability to convey rigorous mathematical concepts and considerations to non-expertsAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation/ Age.",Amazon Game Studios
47,Applied Scientist / Machine Learning - Twitch Prime Fraud Prevention,"US, WA, Seattle","May 23, 2019",https://www.amazon.jobs/en-gb/jobs/864279/applied-scientist-machine-learning-twitch-prime-fraud-prevention,"Do you want to develop Computer Vision and Machine Learning, and Robotic solutions with a worldwide impact? Amazon has the world's most exciting treasure trove of robotic challenges. The Robotics AI team at Amazon is building high-performance, real-time robotic systems that can perceive, learn and act intelligently alongside humans, at Amazon scale.We are looking for experienced Computer Vision Scientists capable of building and delivering robust perception systems for robotic manipulation. You will join the European Center for Robotics AI, which is based in Berlin, Germany. We work on computer vision, machine learning, planning, control and simulation applied to robotics. You will be closely collaborating with scientists across all these disciplines. We are expanding to meet the huge application demand at Amazon.If you are excited to push the state of the art and to solve some of the most challenging real-world problems and if you would like to live in one of the world's most exciting cities, then we have the perfect role for you. We have several open positions for Computer Vision candidates with varying levels of experience. We are particularly excited to receive applications from candidates with specialisms in areas close to multi-modal estimation, object recognition (instance and categorical), 3D surface modeling and reconstruction, 3D pose estimation, object tracking, 2D/3D deformable modelling, segmentation (both semantic and instance based). We seek candidates who can:· Research, design, implement and evaluate novel algorithms for robotic vision· Collaborate closely with team members on developing systems from prototyping to production level· Collaborate with teams spread all over the world, in particular Boston and Seattle· Work closely with software engineering teams to drive Amazon scale, real-time implementations· Be driven by business goalsAmazon is the most customer-centric company in the world. To get there, we need exceptionally talented, bright, and goal-driven people. If you're excited to be part of one of the world's largest automation systems, this is your chance to make history.","· A PhD in Computer Vision, Robot Vision or a related discipline· Broad knowledge of fundamentals and the state of the art in relevant areas of Computer Vision/Machine Learning/Deep Learning/Robotics/Artificial Intelligence/Data Science· A strong track record of publications at major Computer Vision and related conferences (e.g. CVPR, ICCV/ECCV, RSS, NeurIPS, ICRA, IROS, CoRL) or journals (IEEE T-PAMI, IJCV, CVIU, IEEE T-IP, IJRR, IEEE TRO, JMLR)· Strong coding skills in two or more programming languages such as Python and C/C++· Hands-on experience in Computer Vision and Machine Learning· Strong verbal and written communication skills· Excellent problem solving ability· Deep Learning implementation expertise (MxNet, TensorFlow, PyTorch etc.)",· Experience in Robotics· Experience with Cloud Computing and Services such as AWS· 3+ years of experience in Python· 1+ year of industrial experience,Machine Learning Centre of Excellence
48,Applied Scientist II - Amazon,"US, WA, Seattle","May 22, 2019",https://www.amazon.jobs/en-gb/jobs/863899/applied-scientist-ii-amazon,"Amazon is looking for a passionate, talented, and inventive Speech Scientist with a strong machine learning background to help build industry-leading Speech and Language technology. Our mission is to push the envelope in Automatic Speech Recognition (ASR) and Natural Language Understanding (NLU), in order to provide the best-possible experience for our customers.Our Speech Scientists, work with talented peers to develop novel algorithms and modeling techniques to advance the state of the art in spoken language understanding. Your work will directly impact our customers in speech and language technology. You will leverage Amazon’s heterogeneous data sources and large-scale computing resources to accelerate advances in spoken language understanding.","· Master's degree in Electrical Engineering, Computer Sciences, or Mathematics with specialization in speech recognition, natural language processing, or machine learning· 1+ years experience with programming languages such as C/C++, Java, Perl or Python.· 1+ years experience in building speech recognition and natural language processing systems","· PhD in Electrical Engineering, Computer Sciences, or Mathematics with specialization in speech recognition, natural language processing, or machine learning.· 3+ years experience in building speech recognition and natural language processing systems· Solid Machine Learning background and familiar with standard speech and machine learning techniques.· Scientific thinking and the ability to invent, a track record of thought leadership and contributions that have advanced the field· Solid software development experience· Good written and spoken communication skills.Amazon is an Equal Opportunity-Affirmative Action Employer - Women/Minority/Disability/Veteran/Gender Identity/Sexual Orientationspeech-jobs",Alexa Engine
49,"Applied Scientist, Computer Vision","DE, Berlin","May 22, 2019",https://www.amazon.jobs/en-gb/jobs/863379/applied-scientist-computer-vision,"Do you want to create the greatest possible worldwide impact in robotics? Amazon has the world's most exciting treasure trove of robotics challenges. The Robotics AI team at Amazon is building high-performance, real-time robotic systems that can perceive, learn and act intelligently alongside humans, at Amazon scale.You will join the European centre for Robotics AI. We are based in Berlin. We work on machine learning, planning, control, simulation and computer vision applied to robotics, particularly though not exclusively to manipulation. We are expanding to meet the huge application demand in Amazon.If you are excited by creating state-of-the-art algorithms to solve some of the most challenging real-world robotics problems if you would like to live in one of the world's most exciting cities, then we have the perfect role for you.We have several open positions for candidates with varying levels of experience. We seek candidates who can:· Research, design, implement and evaluate novel algorithms for dexterous robotics· Work on end-to-end robotics systems, creating scalable systems for many applications· Collaborate closely with team members on developing systems from prototyping to production level· Collaborate with teams spread all over the world, in particular Boston and Seattle· Work closely with software engineering teams to drive Amazon scale, real-time implementations· Be driven by business goalsWe are looking for applied scientists with expertise in any of the following:· Machine learning for robotics (e.g. reinforcement learning, supervised learning, Bayesian methods, online learning systems, ML for robotics)· Control for robotic arms (e.g. impedance and direct force control, dynamics, trajectory control, motion planning, simulation)· Robot manipulation (e.g. grasping, vision for grasping, machine learning for grasping, relevant control).At Amazon, we're working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. If you'd like to help us build the place to find and buy anything online, this is your chance to make history.","· A PhD in robotics or a related science· 5 years of postdoctoral experience in industry or academia· Broad knowledge of fundamentals and state-of-the-art in relevant areas of robotics/machine learning/computer vision/artificial intelligence· Experience in publishing at major robotics and related conferences (e.g. RSS, NIPS, ICRA, CVPR, CORL, ICCV) or journals (IJRR, IEEE TRO, JMLR)· Strong coding skills in two or more programming languages such as Matlab, Python, C/C++· Strong verbal and written communication skills· Excellent problem solving ability",· 3+ years of experience in Python/C++· 1+ year of industrial experience,Machine Learning Centre of Excellence
50,"Speech Scientist, Alexa","US, WA, Seattle","May 21, 2019",https://www.amazon.jobs/en-gb/jobs/862770/speech-scientist-alexa,"Do you want to create the greatest possible worldwide impact in robotics? Amazon has the world's most exciting treasure trove of robotics challenges. The Robotics AI team at Amazon is building high-performance, real-time robotic systems that can perceive, learn and act intelligently alongside humans, at Amazon scale.In this post we are looking for a Principal Robotics Scientist able to provide technical leadership in robotic manipulation. You will be an internationally leading expert in one or more of robot manipulation, control or machine learning.You will join the European centre for Robotics AI. We are based in Berlin. We work on machine learning, planning, control, simulation and computer vision applied to robotics, particularly though not exclusively to manipulation. We are expanding to meet the huge application demand in Amazon.If you are excited by creating state-of-the-art algorithms to solve some of the most challenging real-world robotics problems if you would like to live in one of the world's most exciting cities, then we have the perfect role for you.We have several open positions for candidates with varying levels of experience. We seek candidates who can:· Research, design, implement and evaluate novel algorithms for dexterous robotics· Work on end-to-end robotics systems, creating scalable systems for many applications· Collaborate closely with team members on developing systems from prototyping to production level· Collaborate with teams spread all over the world, in particular Boston and Seattle· Work closely with software engineering teams to drive Amazon scale, real-time implementations· Be driven by business goalsWe are looking for applied scientists with expertise in any of the following:· Computer Vision for robot manipulaton (e.g. object modelling, object recognition, surface recovery, deep learning for manipulation, object tracking)· Machine learning for robotics (e.g. reinforcement learning, supervised learning, Bayesian methods, online learning systems, ML for robotics)· Control for robotic arms (e.g. impedance and direct force control, dynamics, trajectory control, motion planning, simulation, machine leanring for control)· Robot manipulation (e.g. grasping, vision for grasping, machine learning for grasping, relevant control).At Amazon, we're working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. If you'd like to help us build the place to find and buy anything online, this is your chance to make history.","· A PhD in robotics or a related science· 10 years of postdoctoral experience in industry or academia· Broad knowledge of fundamentals and state-of-the-art in relevant areas of robotics/machine learning/computer vision/artificial intelligence· Experience in publishing at major robotics and related conferences (e.g. RSS, NIPS, ICRA, CVPR, CORL, ICCV) or journals (IJRR, IEEE TRO, JMLR)· Strong coding skills in two or more programming languages such as Matlab, Python, C/C++· Strong verbal and written communication skills· Excellent problem solving ability",· 5+ years of experience in Python/C++· 1+ years of industrial experience,Machine Learning Centre of Excellence
51,"Senior Applied Scientist, Robotics","DE, Berlin","May 21, 2019",https://www.amazon.jobs/en-gb/jobs/862223/senior-applied-scientist-robotics,"Applied Scientist, Self-Service Performance Advertising(SSPA)Amazon is investing heavily in building a world class advertising business and we are responsible for defining and delivering a collection of self-service performance advertising products that drive discovery and sales. Our products are strategically important to our Retail and Marketplace businesses driving long term growth. We deliver billions of ad impressions and millions of clicks daily and are breaking fresh ground to create world-class products. We are highly motivated, collaborative and fun-loving with an entrepreneurial spirit and bias for action. With a broad mandate to experiment and innovate, we are growing at an unprecedented rate with a seemingly endless range of new opportunities.The Ad Quality and Billing team, based in Bangalore, is responsible for ensuring that ads are relevant and is of good quality, leading to higher conversion for the sellers and providing a great experience for the customers. It is also responsible for real-time transaction management related to billing and invoicing for advertising products in Amazon. We deal with one of the world’s largest product catalog, handle billions of requests a day with plans to grow it by order of magnitude and use automated systems to validate tens of millions of offers submitted by thousands of merchants in multiple countries and languages.We are looking for a highly motivated, top notch scientist to revamp existing systems and build new ones from the ground up. A successful candidate will have demonstrated experience in at least some of the following areas: machine learning, model building and algorithm development, building and scaling very large data processing platforms using distributed computing technologies such as Map/Reduce, transactional systems and data persistence using RDBMS, web-crawling, algorithm development for efficient scheduling, sampling, queuing, classification, etc.As an experienced member of the team, in this role, you will:· Contribute to evolving the technical direction of Ad Quality Systems and play a critical role their design and development· Build and support billing pipeline responsible for handling all revenue impacting events in Sponsored Ads in real-time.· You will research, design and code, troubleshoot and support. What you create is also what you own.· Develop the next generation of automation tools for monitoring and measuring Ad Quality, with associated user interfaces.· Have the satisfaction of seeing your work impact hundreds of millions of Amazon customers and thousands of Amazon merchants in several countries.· Be able to broaden your technical skills and work in an environment that thrives on creativity, efficient execution, and product innovation.Ad Quality protects the customer experience and is a critical component of our business success. One of the earliest teams to be established in Amazon Bangalore, Ad Quality has both Operations and Development teams in Bangalore supporting multiple ad programs in markets around the world.sspajobs","Basic Qualifications-- BE (CS/EE) , MS/ME in related discipline- 5+ year experience in building machine learning applications.- experience in independently designing machine learning applications- providing technical leadership for machine learning projects- hand-on knowledge of existing ML packages, platforms- good grasp of machine learning fundamentals- excellent programming skills in Java/Python sspajobs","Preferred Qualifications· Advanced Degree in computer science or related discipline· Expertise in Big Data technology (Map/Reduce, Spark, Hadoop)",Performance Advertising
52,"Applied Scientist, Robotics","DE, Berlin","May 21, 2019",https://www.amazon.jobs/en-gb/jobs/862178/applied-scientist-robotics,"Amazon is investing heavily in building a world class advertising business and we are responsible for defining and delivering a collection of self-service performance advertising products that drive discovery and sales. Our products are strategically important to our Retail and Marketplace businesses driving long term growth. We deliver billions of ad impressions and millions of clicks daily and are breaking fresh ground to create world-class products. We are highly motivated, collaborative and fun-loving with an entrepreneurial spirit and bias for action. With a broad mandate to experiment and innovate, we are growing at an unprecedented rate with a seemingly endless range of new opportunities.The Ad Quality and Billing team, based in Bangalore, is responsible for ensuring that ads are relevant and is of good quality, leading to higher conversion for the sellers and providing a great experience for the customers. It is also responsible for real-time transaction management related to billing and invoicing for advertising products in Amazon. We deal with one of the world’s largest product catalog, handle billions of requests a day with plans to grow it by order of magnitude and use automated systems to validate tens of millions of offers submitted by thousands of merchants in multiple countries and languages.We are looking for a highly motivated, top notch scientist to revamp existing systems and build new ones from the ground up. A successful candidate will have demonstrated experience in at least some of the following areas: machine learning, model building and algorithm development, building and scaling very large data processing platforms using distributed computing technologies such as Map/Reduce, transactional systems and data persistence using RDBMS, web-crawling, algorithm development for efficient scheduling, sampling, queuing, classification, etc.As an experienced member of the team, in this role, you will:· Contribute to evolving the technical direction of Ad Quality Systems and play a critical role their design and development· Build and support billing pipeline responsible for handling all revenue impacting events in Sponsored Ads in real-time.· You will research, design and code, troubleshoot and support. What you create is also what you own.· Develop the next generation of automation tools for monitoring and measuring Ad Quality, with associated user interfaces.· Have the satisfaction of seeing your work impact hundreds of millions of Amazon customers and thousands of Amazon merchants in several countries.· Be able to broaden your technical skills and work in an environment that thrives on creativity, efficient execution, and product innovation.Ad Quality protects the customer experience and is a critical component of our business success. One of the earliest teams to be established in Amazon Bangalore, Ad Quality has both Operations and Development teams in Bangalore supporting multiple ad programs in markets around the world.sspajobs","- BE (CS/EE) , MS/ME in related discipline- 5+ year experience in building machine learning applications.- experience in independently designing machine learning applications- providing technical leadership for machine learning projects- hand-on knowledge of existing ML packages, platforms- good grasp of machine learning fundamentals- excellent programming skills in Java/Pythonsspajobs","· Advanced Degree in computer science or related discipline· Expertise in Big Data technology (Map/Reduce, Spark, Hadoop)",Performance Advertising
53,"Applied Scientist II, Self-Service Performance Advertising","IN, KA, Bangalore","May 20, 2019",https://www.amazon.jobs/en-gb/jobs/862132/applied-scientist-ii-self-service-performance-advertising,"Are you seeking an environment where you can drive innovation? Do you want to apply learning techniques and advanced mathematical modeling to solve real world problems? Do you want to play a key role in the future of Amazon's Retail business? Come and join us!The Amazon Demand Forecasting team seeks an Applied Scientist to join our team. Scientists in Demand Forecasting lead the development of novel algorithmic architectures, toward the ultimate goal of accurately predicting customer demand for millions of products world-wide. This drives down supply chain costs and enables the offer of lower prices and better in-stock selection for our customers.Working collaboratively, you will develop solutions to complex problems, such as designing the next generation of algorithms to drive the Supply Chain. As an Applied Scientist, you will continue to contribute to the research community, by working with other scientists across Amazon and our Supply Chain, as well as collaborating with academic researchers and publishing papers. Within Demand Forecasting, our Science community values teamwork, supports continued learning, and recognizes the need to take risks and try new ideas that may fail. Furthermore, our builder culture means that Scientists and Software Development Engineers work closely together to invent and construct at a massive scale. Your work can be part of Amazon production system and result in concrete business impact. Recent work from Demand Forecasting includes papers presented at the NIPS 2017 Time Series Workshop, KDD 2018 Time Series Workshop, and ICML 2018 Deep Generative Models Workshop.Responsibilities:· Understand and mine the large amount of data, prototype and implement new learning algorithms and prediction techniques to improve forecast accuracy· Collaborate with product managers and engineering teams to design and implement software solutions for Amazon problems· Contribute to progress of the Amazon and broader research communities by producing publicationsAmazon is an Equal Opportunity Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.","· Ph.D./M.S. in Computer Science, Machine Learning, Operational Research, Statistics or a related quantitative field· 2 years of hands-on experience in predictive modeling and analysis· 2 years hands-on experience in Python, Perl, Scala, Java, C#, C++ or other similar languages· Proficiency in model development, model validation and model implementation for large-scale applications","· Ph.D. in Computer Science, Machine Learning, Operational Research, Statistics or a related quantitative field· 1+ years professional experience in software development· Strong CS fundamentals in data structures, problem solving, algorithm design and complexity analysis· Superior verbal and written communication and presentation skills, ability to convey rigorous mathematical concepts and considerations to non-experts",Supply Chain Optimization Technologies
54,Applied Scientist,"IN, KA, Bangalore","May 20, 2019",https://www.amazon.jobs/en-gb/jobs/862131/applied-scientist,"Amazon AI is looking for world class scientists to join its AI Lab. This group is entrusted with developing core machine learning algorithms for AWS. As a part of the AI Lab you will invent, implement, and deploy state of the art machine learning algorithms and systems. You will build prototypes and explore novel solutions to new problems at scale. You will interact closely with our customers and with the academic community. You will be at the heart of a growing and exciting focus area for AWS and work with other acclaimed engineers and world famous scientists.","· MS or PhD degree in computer science, operations research, statistics, engineering, or mathematics· 5+ years of experience in the field with a proven track record· Experience with fast prototyping· Experience with object oriented languages and efficient low level coding· Experience with data mining or machine learning applications· Experience working effectively with software engineering teams· Excellent written and verbal communication skills","As a Scientist in the AI Lab are expected be an expert in an area relevant for large scale machine learning and its applications. Our particular focuses include temporal models particularly for forecasting, recommendation systems and reinforcement learning. Experience with deploying ML in practice is a plus.Your position will require you to:· Be an active member of a software development team.· Improve and accelerate our technology with science, statistical modeling, algorithm design, and prototyping.· Maintain an understanding of industry and technology trends in said area of research.· Contribute to Amazon's Intellectual Property through patents and/or external publications.· Understand business context to decisions made within and across groups.· Effectively communicate with senior management, colleagues, the open source community, and academia.· Recognize and help hire top talent in your field.· Mentor others in achieving their career growth potential.· Drive an independent research agenda that is well-aligned with business needs.Amazon.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.",Amazon AI
55,Applied Scientist,"US, NY, New York","May 20, 2019",https://www.amazon.jobs/en-gb/jobs/861813/applied-scientist,"Amazon is looking for a Machine Learning Scientist to join the the Inherent Relationships team in Edinburgh. The Inherent Relationships team is responsible for inferring factual information about products in Amazon's catalog in order to power search and discovery as well as a variety of features across Amazon's customer experience. Our work is characterized by advanced Machine Learning techniques, high scale, complexity and a constant need for innovation.As an scientist working at Amazon, you will play a key role in identifying business opportunities, measuring opportunity, inventing and prototyping solutions. You will use a wide range of technologies, programming languages and systems, and work alongside an experienced engineering team. You will have the freedom and encouragement to explore your own ideas and the reward of seeing your contributions benefit millions of Amazon.com customers worldwide.","· Degree in Computer Science, Mathematics, Physics, Economics, Statistics, or related quantitative field.· Experience applying statistical techniques to solve real business problems.· Strong computer science grounding in a broad range of algorithms and data-structures.· Proficiency in an object-orientated programming language (C++, Java, C#, C, Perl/Ruby, etc.)· Proficiency with mathematical programming environments (R, Matlab, Numpy/Scipy, SAS, etc.)· Programming skills sufficient to extract, transform, and clean large (multi-terrabyte) data sets in a Unix/Linux environment.· Excellent critical thinking skills, combined with the ability to present your ideas clearly and compellingly in both verbal and written form.","· Ph.D. degree in Computer Science, Data Science, or related field.· Experience of working with deep neural networks· Experience of working with big data, including analysis, visualization, and clustered computing (e.g. Spark)Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on objective criteria including your experience and skills. We value your passion to discover, invent, simplify and build. We welcome applications from all sections of society irrespective of colour, race, religion or belief, nationality, ethnic or national origin, gender, gender reassignment, sexual orientation, sex, marital status, disability, age or trade union membership. Please let us know if you have any special requirements in relation to this recruitment process.",Amazon Development Centre Scotland
56,Applied Scientist,"US, CA, East Palo Alto","May 20, 2019",https://www.amazon.jobs/en-gb/jobs/861696/applied-scientist,"Amazon is looking for a passionate, talented, and inventive Scientist with a strong machine learning background to help build industry-leading Natural Language Understanding (NLU) solutions. Our mission is to push the envelope in NLU and Entity Resolution (ER) technologies to provide the best possible experience for our customers. Products such as Amazon Echo, Echo Show, Echo Look, Amazon Dash, and Fire TV are illustrative of the user-delighting spoken language solutions Amazon is building.As a Scientist on our team, you will collaborate with other scientists and software engineers to research and develop novel algorithms and modeling techniques to advance the state of the art in NLU and ER. Your work will directly impact our customers in the form of products and services that make use of speech and language technology. You will leverage Amazon’s heterogeneous data sources and large-scale computing resources to accelerate advances in natural language understanding.Position Responsibilities:· Participate in the design, development, evaluation, deployment of data-driven machine-learned (ML) models targeting NLU and ER applications.· Develop and apply statistical modeling techniques (e.g. Bayesian models and deep neural networks), optimization methods, and other ML techniques to different applications in business and engineering.· Routinely build and deploy ML models on available data.· Research and implement novel ML and statistical approaches to add value to the business. Mentor junior engineers and scientists.","· Master's degree in Electrical Engineering, Computer Sciences, or Mathematics with specialization in speech recognition, natural language processing, search science, or machine learning.· 2+ years of experience with various machine learning techniques.· Knowledge of programming languages such as C/C++, Java, Perl or Python.","· PhD· Experience in building NLU and/or ER systems (e.g. commercial speech products or government speech projects)· Knowledge in machine learning techniques in entity resolution or text search domain.· Solid Machine Learning background and prior work experience with ML is a plus.· Scientific thinking and the ability to invent, a track record of thought leadership and contributions that have advanced the field· Solid software development experience.· Strong sense of ownership, urgency and drive .· Demonstrated ability to achieve stretch goals in a highly innovative and fast pace environment.· Good written and spoken communication skills.Amazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age",Alexa AI
